# Zenith RA (deg), Zenith Dec (deg), Time (Julian Date)
144.03763,38.53470,2460016.64917
58.10219,38.36145,2460021.39750
50.10471,38.34749,2460026.36167
119.99118,38.49317,2460031.54167
268.00109,38.44320,2460036.93750
133.55411,38.51769,2460042.54917
77.18057,38.40063,2460048.37667
98.73339,38.44808,2460054.42000
198.32534,38.55492,2460060.67917
15.66282,38.31028,2460067.15417
271.07445,38.43468,2460073.84500
244.26939,38.49100,2460080.75167
295.39346,38.38165,2460087.87417
64.25280,38.37521,2460095.21250
271.37873,38.43181,2460102.76667
196.16576,38.55373,2460110.53667
198.94204,38.55179,2460118.52250
279.69041,38.41157,2460126.72417
78.09779,38.40448,2460135.14167
314.76904,38.34190,2460143.77500
269.22071,38.43274,2460152.62417
301.53998,38.36354,2460161.68917
51.62505,38.35117,2460170.97000
239.95414,38.49431,2460180.46667
145.88469,38.53822,2460190.17917
129.84753,38.51465,2460200.10750
153.11040,38.54742,2459973.79167
231.15630,38.51753,2459974.00750
26.85864,38.31507,2459974.43917
260.74463,38.45767,2459975.08667
212.34337,38.54500,2459975.95000
241.94614,38.49766,2459977.02917
349.35648,38.30579,2459978.32417
174.70425,38.56226,2459979.83500
77.91927,38.40198,2459981.56167
59.14867,38.36294,2459983.50417
118.26725,38.49103,2459985.66250
255.50453,38.47002,2459988.03667
110.25507,38.47414,2459990.62667
43.15522,38.33565,2459993.43250
53.91970,38.35333,2459996.45417
142.62152,38.53337,2459999.69167
309.38012,38.35525,2460003.14500
193.82839,38.56004,2460006.81417
156.19109,38.54946,2460010.69917
196.60374,38.55833,2460014.80000
314.91482,38.34651,2460019.11667
150.94711,38.54326,2460023.64917
64.99552,38.37489,2460028.39750
56.99653,38.35976,2460033.36167
126.89704,38.50614,2460038.54167
274.90017,38.42767,2460043.93750
140.46221,38.52843,2460049.54917
84.07767,38.41574,2460055.37667
105.63502,38.46323,2460061.42000
205.23608,38.54931,2460067.67917
22.55040,38.31492,2460074.15417
277.97296,38.41909,2460080.84500
251.17357,38.47653,2460087.75167
302.28704,38.36776,2460094.87417
71.14713,38.38930,2460102.21250
278.27720,38.41613,2460109.76667
203.07679,38.54867,2460117.53667
205.85284,38.54592,2460125.52250
286.58722,38.39617,2460133.72417
84.99496,38.41972,2460142.14167
321.65934,38.33111,2460150.77500
276.11978,38.41696,2460159.62417
308.43239,38.35031,2460168.68917
58.51703,38.36370,2460177.97000
246.85933,38.48040,2460187.46667
152.79462,38.54655,2460197.17917
136.75522,38.52630,2460207.10750
160.02084,38.55399,2459980.79167
238.06286,38.50539,2459981.00750
33.74733,38.32267,2459981.43917
267.64537,38.44263,2459982.08667
219.25269,38.53647,2459982.95000
248.85067,38.48405,2459984.02917
356.24378,38.30376,2459985.32417
181.61573,38.56313,2459986.83500
84.81657,38.41726,2459988.56167
66.04218,38.37663,2459990.50417
125.17281,38.50442,2459992.66250
262.40637,38.45515,2459995.03667
117.15905,38.48838,2459997.62667
50.04603,38.34673,2460000.43250
60.81225,38.36628,2460003.45417
149.53089,38.54231,2460006.69167
316.27126,38.34386,2460010.14500
200.73938,38.55575,2460013.81417
163.10185,38.55509,2460017.69917
203.51464,38.55338,2460021.80000
321.80511,38.33612,2460026.11667
157.85743,38.55016,2460030.64917
71.89009,38.38912,2460035.39750
63.88965,38.37299,2460040.36167
133.80415,38.51807,2460045.54167
